S.N., time                   , place                                     , magnitude, longitude, latitude, depth
  51, 2023-04-27 19:45:53.627, "72 km NE of Dipayal, Nepal"              ,      5.1 ,   81.5483,  29.6212, 10.0
  52, 2023-04-27 18:13:51.853, "66 km ENE of Dipayal, Nepal"             ,      4.5 ,   81.5302,  29.5729, 10.0
  53, 2023-04-08 14:44:49.140, "79 km N of Lobuche, Nepal"               ,      4.3 ,   86.7146,  28.6582, 68.028
  54, 2023-04-01 05:42:20.397, "38 km SSE of Kodāri̇̄, Nepal"              ,      4.5 ,   86.1761,  27.6685, 10.0
  55, 2023-03-24 04:06:24.411, "52 km NW of Jumla, Nepal"                ,      4.2 ,   81.828 ,  29.6326, 30.882
  56, 2023-03-02 08:12:56.235, "64 km NE of Lobuche, Nepal"              ,      4.0 ,   87.3045,  28.3307, 10.0
  57, 2023-02-26 07:06:04.699, Nepal                                     ,      4.3 ,   81.127 ,  29.7352, 10.0
  58, 2023-02-22 08:00:22.588, "70 km WNW of Jumla, Nepal"               ,      4.8 ,   81.5737,  29.6254, 20.937
  59, 2023-02-12 22:45:05.505, "73 km NW of Mangan, India"               ,      4.0 ,   88.0003,  27.986 , 60.903
  60, 2023-01-24 08:58:33.123, "60 km NW of Jumla, Nepal"                ,      5.4 ,   81.6638,  29.5825, 33.11
  61, 2022-12-27 20:22:03.128, "48 km WNW of B?glung, Nepal"             ,      4.6 ,   83.1553,  28.4898, 18.597
  62, 2022-12-27 19:38:12.218, "55 km N of Chitre, Nepal"                ,      4.0 ,   83.6137,  28.926 , 24.596
  63, 2022-12-23 01:31:21.071, Nepal                                     ,      4.5 ,   83.1015,  28.4999, 10.0
  64, 2022-12-23 01:30:55.904, "58 km WNW of B?glung, Nepal"             ,      4.2 ,   83.0809,  28.5471, 10.0
  65, 2022-11-12 14:27:05.131, "25 km ENE of Dipayal, Nepal"             ,      5.2 ,   81.1777,  29.3523, 10.0
  66, 2022-11-09 23:28:02.358, Nepal                                     ,      4.3 ,   81.1564,  29.352 , 10.0
