S.N., time                   , place                                     , magnitude, longitude, latitude, depth
 218, 2016-05-11 01:19:42.320, "45 km NW of Kirtipur, Nepal"             ,      4.5 ,   84.9277,  27.9448, 10.23
 219, 2016-05-09 05:17:54.750, "33 km NW of Kod?ri??, Nepal"             ,      4.2 ,   85.7631,  28.21  , 39.31
 220, 2016-05-03 16:31:51.850, "101 km WNW of Rikaze, China"             ,      4.1 ,   87.9346,  29.6379, 25.81
 221, 2016-04-19 17:22:17.910, "109 km ENE of Lobujya, Nepal"            ,      4.3 ,   87.8381,  28.3381, 55.92
 222, 2016-04-16 04:33:03.290, "75 km NE of Lobujya, Nepal"              ,      4.1 ,   87.4392,  28.3437, 10.0
 223, 2016-04-12 14:41:52.170, "40 km SSE of Kod?ri??, Nepal"            ,      4.3 ,   86.0621,  27.6062, 10.0
 224, 2016-04-09 13:20:13.820, "4 km SSW of P?tan, Nepal"                ,      4.1 ,   85.3002,  27.6354, 10.22
 225, 2016-04-04 04:31:26.640, "30 km ESE of Dhulikhel, Nepal"           ,      4.2 ,   85.8383,  27.5381, 23.69
 226, 2016-03-30 12:26:40.280, "11 km NNE of Nagarkot, Nepal"            ,      4.1 ,   85.5483,  27.8164, 10.0
 227, 2016-03-14 21:27:35.270, "1 km NE of Nagarkot, Nepal"              ,      4.3 ,   85.534 ,  27.7234, 27.09
 228, 2016-03-13 05:15:33.690, "41 km ENE of Bharatpur, Nepal"           ,      4.4 ,   84.8208,  27.8303, 10.0
 229, 2016-02-24 09:22:16.670, "24 km ENE of Nagarkot, Nepal"            ,      4.7 ,   85.7365,  27.8322, 10.0
 230, 2016-02-21 18:10:00.970, "40 km NE of Bharatpur, Nepal"            ,      5.1 ,   84.6943,  27.9633, 16.72
 231, 2016-02-10 16:27:41.910, "10 km E of Nagarkot, Nepal"              ,      4.1 ,   85.6292,  27.7118, 21.15
 232, 2016-02-05 16:20:11.740, "19 km N of Kathmandu, Nepal"             ,      5.2 ,   85.3377,  27.8782, 23.53
 233, 2016-01-31 04:39:48.230, "99 km WNW of Saga, China"                ,      4.1 ,   84.2685,  29.6353, 10.0
 234, 2016-01-31 04:18:25.460, "103 km WNW of Saga, China"               ,      4.2 ,   84.2327,  29.6637, 10.0
 235, 2016-01-28 09:36:03.450, "93 km WNW of Rikaze, China"              ,      4.1 ,   87.9565,  29.4663, 10.0
 236, 2016-01-26 16:57:30.840, "104 km WNW of Rikaze, China"             ,      4.2 ,   87.8553,  29.5248, 24.65
 237, 2016-01-21 19:22:43.590, Xizang-Nepal border region                ,      4.5 ,   85.0515,  28.0269, 19.01
 238, 2016-01-14 00:03:52.650, "107 km WNW of Rikaze, China"             ,      4.1 ,   87.8145,  29.4873, 10.0
 239, 2016-01-13 23:15:46.160, "98 km WNW of Rikaze, China"              ,      4.4 ,   88.0054,  29.7043, 10.0
 240, 2015-12-26 04:48:40.050, "47 km E of Dipayal, Nepal"               ,      4.1 ,   81.42  ,  29.1913, 10.0
 241, 2015-12-18 22:16:56.550, "53 km WNW of Jumla, Nepal"               ,      5.4 ,   81.6541,  29.3985, 10.0
 242, 2015-11-24 12:24:15.590, Nepal                                     ,      4.6 ,   84.7587,  28.1552,  8.19
 243, 2015-11-19 04:15:52.600, "21 km NE of Nagarkot, Nepal"             ,      5.0 ,   85.6776,  27.8525, 16.51
 244, 2015-10-12 15:39:07.360, "117 km ESE of Saga, China"               ,      4.5 ,   86.3729,  28.9796, 10.0
 245, 2015-10-09 20:29:56.020, "105 km NNW of Lobujya, Nepal"            ,      4.9 ,   86.469 ,  28.8544, 10.0
 246, 2015-10-09 01:01:21.970, "110 km NNE of Kod?ri??, Nepal"           ,      4.0 ,   86.3397,  28.8999, 10.0
 247, 2015-10-07 04:58:20.550, "44 km WNW of Kirtipur, Nepal"            ,      4.2 ,   84.8817,  27.8771, 34.7
 248, 2015-10-06 23:30:29.260, "32 km S of Kod?ri??, Nepal"              ,      4.3 ,   85.9838,  27.6712, 14.04
 249, 2015-10-06 12:02:40.700, "30 km SE of Kod?ri??, Nepal"             ,      4.0 ,   86.1479,  27.7479, 10.0
 250, 2015-10-05 07:36:25.480, "28 km SE of Kod?ri??, Nepal"             ,      4.3 ,   86.1587,  27.7703, 10.0
 251, 2015-10-05 07:33:21.920, "36 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.0343,  27.6395, 10.0
 252, 2015-09-29 10:54:42.010, "24 km SW of Kod?ri??, Nepal"             ,      4.4 ,   85.8162,  27.7769, 10.0
 253, 2015-09-29 09:27:17.090, "21 km NW of Dh?rchula, India"            ,      4.6 ,   80.3737,  29.996 , 35.0
 254, 2015-09-22 06:32:45.680, "21 km W of Kirtipur, Nepal"              ,      4.4 ,   85.0633,  27.6915, 10.0
 255, 2015-09-16 14:52:12.070, "47 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.1894,  27.5875,  7.48
 256, 2015-09-01 23:06:40.640, "44 km WSW of Namche Bazar, Nepal"        ,      4.1 ,   86.2819,  27.6836, 16.02
 257, 2015-08-30 13:17:34.680, "12 km ENE of Dhulikhel, Nepal"           ,      4.5 ,   85.6673,  27.6519, 10.0
 258, 2015-08-24 06:53:44.060, "59 km NE of Lobujya, Nepal"              ,      4.0 ,   87.2202,  28.3466, 10.53
 259, 2015-08-23 09:02:05.080, "18 km SE of Kod?ri??, Nepal"             ,      5.0 ,   86.0795,  27.8355, 10.0
 260, 2015-08-17 22:23:57.910, "18 km ESE of Kod?ri??, Nepal"            ,      4.2 ,   86.1322,  27.9066, 10.44
 261, 2015-08-15 18:11:39.530, "28 km S of Kod?ri??, Nepal"              ,      4.7 ,   85.9473,  27.7023, 10.0
 262, 2015-08-15 05:42:20.300, "40 km WNW of Gyalshing, India"           ,      4.4 ,   87.8566,  27.3759, 10.0
 263, 2015-08-14 13:02:26.290, "45 km SSE of Kod?ri??, Nepal"            ,      4.6 ,   86.086 ,  27.5691, 10.0
 264, 2015-08-11 04:57:40.960, "2 km SE of P?tan, Nepal"                 ,      3.7 ,   85.3301,  27.6651,  2.64
 265, 2015-08-09 22:30:26.860, "70 km NNE of Bharatpur, Nepal"           ,      4.2 ,   84.8043,  28.2257, 10.0
 266, 2015-08-05 19:15:56.760, "60 km NNW of Dh?rchula, India"           ,      4.1 ,   80.3368,  30.3652, 10.0
 267, 2015-08-01 12:14:28.560, "121 km NE of Lobujya, Nepal"             ,      4.4 ,   87.6636,  28.7475, 34.28
 268, 2015-08-01 01:37:42.690, "68 km NNW of Kod?ri??, Nepal"            ,      4.0 ,   85.6808,  28.532 , 10.0
 269, 2015-07-22 16:29:47.770, "2 km N of Kirtipur, Nepal"               ,      3.9 ,   85.2824,  27.7012, 14.54
 270, 2015-07-10 21:13:01.030, "28 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.0836,  27.7297, 10.0
 271, 2015-07-07 09:31:41.580, "57 km NW of Jumla, Nepal"                ,      4.2 ,   81.733 ,  29.6068, 10.0
 272, 2015-07-06 15:29:07.940, "26 km W of Kod?ri??, Nepal"              ,      4.2 ,   85.6886,  27.9368, 10.0
 273, 2015-07-03 20:04:07.080, "34 km NNW of Hetauda, Nepal"             ,      4.5 ,   84.9064,  27.7236,  3.36
 274, 2015-07-02 01:56:11.700, "30 km N of Nagarkot, Nepal"              ,      4.2 ,   85.5714,  27.9835, 10.0
 275, 2015-06-29 21:46:23.940, "26 km ESE of Panauti, Nepal"             ,      4.3 ,   85.7525,  27.4724, 10.0
 276, 2015-06-29 17:42:43.450, "32 km W of Kod?ri??, Nepal"              ,      4.0 ,   85.6279,  28.003 , 10.0
 277, 2015-06-28 23:57:15.530, "12 km NE of Kod?ri??, Nepal"             ,      4.7 ,   86.056 ,  28.0316, 10.0
 278, 2015-06-25 15:22:19.450, "12 km N of Kathmandu, Nepal"             ,      3.7 ,   85.3302,  27.8139, 10.0
 279, 2015-06-22 07:34:31.780, "45 km ESE of Dhulikhel, Nepal"           ,      4.3 ,   85.9898,  27.5413, 10.0
 280, 2015-06-21 13:41:47.330, "18 km SSE of Kod?ri??, Nepal"            ,      4.1 ,   86.0295,  27.8059, 10.0
 281, 2015-06-20 12:23:05.580, "41 km NNE of Besisahar, Nepal"           ,      4.7 ,   82.6319,  28.5523, 10.0
 282, 2015-06-17 02:15:14.610, "35 km NNW of Kod?ri??, Nepal"            ,      4.3 ,   85.8766,  28.2774, 10.0
 283, 2015-06-17 00:29:59.050, "25 km N of Nagarkot, Nepal"              ,      4.3 ,   85.4981,  27.9426, 10.0
 284, 2015-06-17 00:13:20.190, "4 km NNW of Kathmandu, Nepal"            ,      4.0 ,   85.2944,  27.7381,  5.7
 285, 2015-06-14 07:47:46.830, "31 km NW of Kod?ri??, Nepal"             ,      4.1 ,   85.7529,  28.1763, 10.0
 286, 2015-06-13 01:18:30.200, "38 km SSE of Kod?ri??, Nepal"            ,      4.8 ,   86.0709,  27.6326, 10.0
 287, 2015-06-12 04:34:10.000, "22 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.0379,  27.7705, 10.0
 288, 2015-06-11 19:37:06.220, "54 km NNE of Bharatpur, Nepal"           ,      4.4 ,   84.6937,  28.115 , 10.32
 289, 2015-06-11 16:12:20.290, "14 km NNE of Nagarkot, Nepal"            ,      4.8 ,   85.5836,  27.8321, 24.49
 290, 2015-06-11 04:17:46.340, "17 km WSW of Kod?ri??, Nepal"            ,      4.2 ,   85.7959,  27.8955, 10.0
 291, 2015-06-07 05:17:45.900, "28 km N of Nagarkot, Nepal"              ,      4.2 ,   85.5328,  27.9734, 10.0
 292, 2015-06-03 07:52:37.640, "14 km ENE of Kod?ri??, Nepal"            ,      4.0 ,   86.0953,  28.011 , 10.0
 293, 2015-05-30 16:28:19.320, "41 km WNW of Kirtipur, Nepal"            ,      4.3 ,   84.9263,  27.8802, 10.0
 294, 2015-05-29 10:00:00.270, "47 km NE of Bharatpur, Nepal"            ,      4.8 ,   84.7819,  27.9798, 10.0
 295, 2015-05-28 23:35:52.170, "50 km NNE of Bharatpur, Nepal"           ,      4.0 ,   84.6435,  28.0923, 10.0
 296, 2015-05-27 16:45:00.460, "70 km NNW of Kathmandu, Nepal"           ,      4.1 ,   84.9717,  28.2528, 10.0
 297, 2015-05-27 07:30:58.810, "31 km W of Hetauda, Nepal"               ,      4.4 ,   84.716 ,  27.4029, 10.0
 298, 2015-05-27 07:30:41.910, "38 km ENE of R?mnagar, India"            ,      4.0 ,   84.6635,  27.3256, 10.0
 299, 2015-05-26 17:07:14.360, "62 km NNW of Kathmandu, Nepal"           ,      4.6 ,   85.1005,  28.2338, 10.0
 300, 2015-05-26 14:15:30.970, "14 km SSE of Hetauda, Nepal"             ,      3.7 ,   85.0688,  27.3029, 10.0
 301, 2015-05-25 10:46:03.060, "80 km NNE of Lobujya, Nepal"             ,      4.3 ,   87.2411,  28.5718, 42.44
 302, 2015-05-24 21:38:40.840, "45 km NNE of Bharatpur, Nepal"           ,      4.4 ,   84.6734,  28.0271, 10.0
 303, 2015-05-22 19:07:41.930, "73 km SE of Burang, China"               ,      4.3 ,   81.6888,  29.8042, 10.0
 304, 2015-05-22 13:04:05.930, Nepal                                     ,      4.1 ,   85.6936,  27.6635, 10.0
 305, 2015-05-22 11:45:47.370, "47 km SSE of Kod?ri??, Nepal"            ,      4.3 ,   86.0511,  27.5438, 10.0
 306, 2015-05-22 10:59:33.780, "43 km NW of Kirtipur, Nepal"             ,      4.7 ,   84.9671,  27.9555, 10.0
 307, 2015-05-21 09:11:55.640, "16 km NNW of Kirtipur, Nepal"            ,      4.0 ,   85.209 ,  27.8173, 10.0
 308, 2015-05-20 09:02:32.260, "11 km S of Hetauda, Nepal"               ,      4.6 ,   85.0483,  27.3231, 10.0
 309, 2015-05-19 10:59:30.690, "22 km SSW of Kod?ri??, Nepal"            ,      4.2 ,   85.868 ,  27.7722, 10.0
 310, 2015-05-18 22:49:50.890, "34 km E of Dhulikhel, Nepal"             ,      4.4 ,   85.8925,  27.5867, 10.0
 311, 2015-05-18 12:42:09.240, "39 km NE of Bharatpur, Nepal"            ,      4.1 ,   84.6997,  27.9438, 10.0
 312, 2015-05-17 05:45:38.500, "28 km E of Dhulikhel, Nepal"             ,      4.3 ,   85.8239,  27.5777, 10.0
 313, 2015-05-16 23:15:26.060, "31 km S of Kod?ri??, Nepal"              ,      4.4 ,   85.9514,  27.6804, 10.0
 314, 2015-05-16 20:02:53.740, "44 km NE of Bharatpur, Nepal"            ,      4.1 ,   84.6978,  28.0094, 10.0
 315, 2015-05-16 11:34:09.980, "45 km SSE of Kod?ri??, Nepal"            ,      5.5 ,   86.0734,  27.5603,  7.0
 316, 2015-05-16 03:50:21.210, "14 km ENE of Hetauda, Nepal"             ,      4.2 ,   85.1653,  27.4751, 10.0
 317, 2015-05-16 03:39:26.920, "16 km E of Dhulikhel, Nepal"             ,      4.7 ,   85.713 ,  27.6386, 10.0
 318, 2015-05-16 00:46:06.830, "37 km NNE of Bharatpur, Nepal"           ,      4.1 ,   84.5187,  28.0074, 10.0
 319, 2015-05-15 01:42:42.800, "45 km NE of Bharatpur, Nepal"            ,      4.9 ,   84.7499,  27.9719, 10.0
 320, 2015-05-14 14:36:39.530, "45 km NNW of Nagarkot, Nepal"            ,      3.9 ,   85.3994,  28.1148, 10.0
 321, 2015-05-14 03:07:38.770, "37 km SSE of Kod?ri??, Nepal"            ,      4.4 ,   86.1515,  27.6713, 10.0
 322, 2015-05-13 21:38:06.390, "28 km SSE of Kod?ri??, Nepal"            ,      5.0 ,   86.0503,  27.7199,  8.38
 323, 2015-05-13 10:59:41.150, "19 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.038 ,  27.8014, 10.0
 324, 2015-05-13 09:52:27.990, "39 km W of Namche Bazar, Nepal"          ,      4.2 ,   86.3084,  27.7666, 10.0
 325, 2015-05-13 06:53:00.780, "35 km SE of Kod?ri??, Nepal"             ,      4.8 ,   86.1891,  27.7201, 10.0
 326, 2015-05-13 06:37:30.290, "28 km SE of Kod?ri??, Nepal"             ,      4.5 ,   86.1379,  27.7582, 10.0
 327, 2015-05-13 06:26:07.550, "39 km SSE of Kod?ri??, Nepal"            ,      4.7 ,   86.1557,  27.6539, 10.0
 328, 2015-05-13 02:43:47.590, "42 km WSW of Namche Bazar, Nepal"        ,      4.1 ,   86.3299,  27.6248, 10.0
 329, 2015-05-13 02:23:10.920, "42 km SE of Kod?ri??, Nepal"             ,      4.1 ,   86.2315,  27.6695, 10.0
 330, 2015-05-12 21:57:14.320, "18 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.0034,  27.8032, 10.0
 331, 2015-05-12 21:25:11.930, "23 km ENE of Bharatpur, Nepal"           ,      5.2 ,   84.6384,  27.783 , 10.0
 332, 2015-05-12 20:44:28.940, "28 km E of Kod?ri??, Nepal"              ,      4.0 ,   86.2389,  27.9152,  5.36
 333, 2015-05-12 20:22:16.260, "16 km SW of Kirtipur, Nepal"             ,      4.3 ,   85.1413,  27.5858, 13.35
 334, 2015-05-12 19:37:40.910, "34 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.1308,  27.6868,  8.52
 335, 2015-05-12 19:34:59.090, "40 km SSE of Kod?ri??, Nepal"            ,      4.3 ,   86.1584,  27.6432, 10.93
 336, 2015-05-12 18:51:44.210, "44 km WSW of Namche Bazar, Nepal"        ,      4.1 ,   86.294 ,  27.6456, 11.23
 337, 2015-05-12 18:49:05.090, "39 km SE of Kod?ri??, Nepal"             ,      4.0 ,   86.2514,  27.717 , 15.68
 338, 2015-05-12 17:28:39.250, "53 km SSE of Kod?ri??, Nepal"            ,      4.8 ,   86.1266,  27.4989, 10.0
 339, 2015-05-12 16:55:22.990, "27 km S of Kod?ri??, Nepal"              ,      4.4 ,   85.9418,  27.712 ,  6.54
 340, 2015-05-12 16:32:09.050, "46 km SE of Kod?ri??, Nepal"             ,      4.0 ,   86.2307,  27.617 , 10.0
 341, 2015-05-12 16:15:14.100, "35 km SE of Kod?ri??, Nepal"             ,      4.0 ,   86.2211,  27.7411, 10.0
 342, 2015-05-12 15:59:46.930, "44 km WSW of Namche Bazar, Nepal"        ,      4.4 ,   86.2971,  27.6485, 10.0
 343, 2015-05-12 15:32:25.690, "22 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.0808,  27.7866, 10.0
 344, 2015-05-12 15:28:19.810, "39 km SE of Kod?ri??, Nepal"             ,      4.4 ,   86.2602,  27.721 , 10.0
 345, 2015-05-12 13:58:57.540, "49 km WSW of Namche Bazar, Nepal"        ,      4.5 ,   86.2659,  27.6013, 10.0
 346, 2015-05-12 13:47:05.250, "25 km SSW of Kod?ri??, Nepal"            ,      4.4 ,   85.8975,  27.7321, 10.0
 347, 2015-05-12 13:43:17.520, "24 km SSW of Kod?ri??, Nepal"            ,      4.4 ,   85.9016,  27.7461, 10.0
 348, 2015-05-12 13:25:25.120, "39 km SSE of Kod?ri??, Nepal"            ,      4.2 ,   86.1632,  27.6516,  7.9
 349, 2015-05-12 13:10:40.840, "9 km S of Kod?ri??, Nepal"               ,      4.1 ,   85.9511,  27.8728, 10.61
 350, 2015-05-12 13:08:10.140, "38 km S of Kod?ri??, Nepal"              ,      4.4 ,   85.9896,  27.6132, 10.0
 351, 2015-05-12 13:02:17.180, "26 km E of Dhulikhel, Nepal"             ,      4.0 ,   85.8062,  27.6406, 10.0
 352, 2015-05-12 12:28:22.930, Nepal                                     ,      4.5 ,   85.9931,  27.6751, 10.0
 353, 2015-05-12 11:58:12.150, "30 km S of Kod?ri??, Nepal"              ,      4.3 ,   85.9018,  27.6936, 10.0
 354, 2015-05-12 11:21:30.590, "35 km SSE of Kod?ri??, Nepal"            ,      4.4 ,   86.1369,  27.6838, 10.0
 355, 2015-05-12 11:13:21.490, "15 km S of Kod?ri??, Nepal"              ,      4.1 ,   85.982 ,  27.8202, 10.0
 356, 2015-05-12 11:06:34.600, "42 km SE of Kod?ri??, Nepal"             ,      4.2 ,   86.2033,  27.6414, 10.0
 357, 2015-05-12 10:53:22.920, "34 km SE of Kod?ri??, Nepal"             ,      4.0 ,   86.199 ,  27.7305, 10.0
 358, 2015-05-12 10:42:22.330, "51 km SW of Namche Bazar, Nepal"         ,      4.0 ,   86.3405,  27.4765, 10.0
 359, 2015-05-12 10:41:32.260, "41 km SE of Kod?ri??, Nepal"             ,      4.5 ,   86.2746,  27.716 , 10.0
 360, 2015-05-12 10:40:07.870, "30 km W of Namche Bazar, Nepal"          ,      4.6 ,   86.4044,  27.7987, 10.0
 361, 2015-05-12 10:35:39.950, "35 km SSE of Kod?ri??, Nepal"            ,      4.5 ,   86.0849,  27.6606, 10.0
 362, 2015-05-12 10:31:00.570, "30 km S of Kod?ri??, Nepal"              ,      4.4 ,   85.9158,  27.6896, 10.01
 363, 2015-05-12 10:15:07.680, "34 km SE of Kod?ri??, Nepal"             ,      4.3 ,   86.1734,  27.7172, 10.0
 364, 2015-05-12 09:44:38.980, "22 km S of Kod?ri??, Nepal"              ,      4.2 ,   85.9301,  27.7617, 10.0
 365, 2015-05-12 09:38:19.460, "43 km SE of Kod?ri??, Nepal"             ,      4.5 ,   86.2505,  27.6658, 10.0
 366, 2015-05-12 09:02:09.780, "27 km SSE of Kod?ri??, Nepal"            ,      4.6 ,   86.0672,  27.7318, 10.0
 367, 2015-05-12 08:59:39.740, "31 km SE of Kod?ri??, Nepal"             ,      4.5 ,   86.195 ,  27.7729, 10.0
 368, 2015-05-12 08:52:30.290, "37 km E of Kod?ri??, Nepal"              ,      4.0 ,   86.3358,  28.0084, 10.0
 369, 2015-05-12 08:51:32.500, "43 km SE of Kod?ri??, Nepal"             ,      4.3 ,   86.2138,  27.6469, 10.0
 370, 2015-05-12 08:39:07.940, "24 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.01  ,  27.7431, 10.0
 371, 2015-05-12 08:35:36.710, "37 km SE of Kod?ri??, Nepal"             ,      4.4 ,   86.2108,  27.7042, 10.0
 372, 2015-05-12 08:34:24.130, "25 km NNE of Kod?ri??, Nepal"            ,      4.3 ,   86.0143,  28.1877, 16.34
 373, 2015-05-12 08:24:24.340, "25 km SSE of Kod?ri??, Nepal"            ,      4.8 ,   86.0692,  27.7486, 10.0
 374, 2015-05-12 08:21:10.760, "30 km SE of Kod?ri??, Nepal"             ,      5.2 ,   86.1316,  27.7298, 15.0
 375, 2015-05-12 08:13:54.600, "23 km ENE of Nagarkot, Nepal"            ,      5.1 ,   85.7574,  27.7629, 15.0
 376, 2015-05-12 08:11:22.590, "24 km ESE of Panauti, Nepal"             ,      4.3 ,   85.7306,  27.4654, 10.0
 377, 2015-05-12 08:06:05.530, "27 km SSE of Kod?ri??, Nepal"            ,      5.0 ,   86.0161,  27.7221, 15.0
 378, 2015-05-12 08:05:25.540, "18 km ESE of Kod?ri??, Nepal"            ,      4.2 ,   86.1387,  27.9198, 10.0
 379, 2015-05-12 07:57:17.360, "17 km WSW of Namche Bazar, Nepal"        ,      4.5 ,   86.5554,  27.7351, 10.0
 380, 2015-05-12 07:48:51.490, "39 km SE of Kod?ri??, Nepal"             ,      4.9 ,   86.2576,  27.7224, 10.0
 381, 2015-05-12 07:47:46.350, "45 km S of Kod?ri??, Nepal"              ,      4.9 ,   86.039 ,  27.5579, 10.0
 382, 2015-05-12 07:43:17.310, "44 km SE of Kod?ri??, Nepal"             ,      4.9 ,   86.2387,  27.6521, 11.77
 383, 2015-05-12 07:36:54.490, "42 km SSE of Kod?ri??, Nepal"            ,      6.3 ,   86.1617,  27.625 , 15.0
 384, 2015-05-12 07:34:22.630, "37 km SE of Kod?ri??, Nepal"             ,      5.4 ,   86.2449,  27.7458, 10.0
 385, 2015-05-12 07:33:09.760, "24 km SSE of Kod?ri??, Nepal"            ,      4.1 ,   86.0099,  27.7477, 10.0
 386, 2015-05-12 07:23:32.670, "52 km WSW of Namche Bazar, Nepal"        ,      5.0 ,   86.2566,  27.5589, 10.0
 387, 2015-05-12 07:22:15.290, "50 km SSE of Kod?ri??, Nepal"            ,      4.8 ,   86.2338,  27.5796, 10.0
 388, 2015-05-12 07:20:47.170, "69 km NNW of Lah?n, Nepal"               ,      4.9 ,   86.2369,  27.3073, 10.0
 389, 2015-05-12 07:17:20.640, "37 km SE of Kod?ri??, Nepal"             ,      5.5 ,   86.2177,  27.7141, 13.01
 390, 2015-05-12 07:05:19.730, Nepal                                     ,      7.3 ,   86.0655,  27.8087, 15.0
 391, 2015-05-11 14:52:40.550, "26 km E of Nagarkot, Nepal"              ,      4.3 ,   85.789 ,  27.7589, 10.0
 392, 2015-05-11 14:50:59.760, "3 km SSW of Kod?ri??, Nepal"             ,      4.3 ,   85.9366,  27.9326, 10.0
 393, 2015-05-11 03:20:36.900, "13 km WNW of Kod?ri??, Nepal"            ,      4.0 ,   85.827 ,  28.0071, 10.0
 394, 2015-05-10 09:38:32.750, Nepal                                     ,      4.3 ,   85.5858,  27.4485, 10.0
 395, 2015-05-10 00:49:52.770, "20 km SSE of Kod?ri??, Nepal"            ,      4.0 ,   86.001 ,  27.7776, 10.0
 396, 2015-05-08 21:23:27.700, "40 km NW of Kirtipur, Nepal"             ,      4.0 ,   85.0259,  27.9634, 10.0
 397, 2015-05-08 07:47:54.460, "10 km S of Kod?ri??, Nepal"              ,      4.2 ,   85.9591,  27.8668, 10.0
 398, 2015-05-08 00:32:33.960, "35 km S of Kod?ri??, Nepal"              ,      4.9 ,   85.979 ,  27.6418, 11.56
 399, 2015-05-07 16:30:47.390, "11 km NNW of Nagarkot, Nepal"            ,      3.4 ,   85.4869,  27.8141, 10.0
 400, 2015-05-06 21:56:28.670, "14 km SW of Kirtipur, Nepal"             ,      3.5 ,   85.1661,  27.5965, 10.0
 401, 2015-05-06 15:13:19.940, "4 km ENE of Dhulikhel, Nepal"            ,      3.8 ,   85.5861,  27.6348, 10.0
 402, 2015-05-05 11:15:40.410, "29 km S of Kod?ri??, Nepal"              ,      4.1 ,   85.9535,  27.6962, 10.0
 403, 2015-05-05 10:38:47.120, "26 km S of Kod?ri??, Nepal"              ,      4.1 ,   85.9867,  27.7226, 10.0
 404, 2015-05-04 14:19:03.470, "16 km SSW of Kod?ri??, Nepal"            ,      4.2 ,   85.9036,  27.8147, 10.0
 405, 2015-05-04 12:17:13.450, "19 km SSE of Kod?ri??, Nepal"            ,      4.1 ,   86.0097,  27.7864, 10.0
 406, 2015-05-04 08:50:00.820, "21 km E of Kod?ri??, Nepal"              ,      4.0 ,   86.1704,  27.926 , 10.0
 407, 2015-05-04 01:15:07.070, "36 km S of Kod?ri??, Nepal"              ,      4.5 ,   85.9746,  27.6326, 10.0
 408, 2015-05-03 23:14:15.460, "26 km SSW of Kod?ri??, Nepal"            ,      4.2 ,   85.8791,  27.7349, 10.0
 409, 2015-05-03 11:35:11.090, "31 km NNW of Hetauda, Nepal"             ,      4.3 ,   84.9331,  27.6999, 10.0
 410, 2015-05-03 02:15:26.910, "19 km ENE of Bharatpur, Nepal"           ,      4.0 ,   84.6005,  27.7665, 10.0
 411, 2015-05-02 21:44:09.970, "35 km S of Kod?ri??, Nepal"              ,      4.3 ,   85.9324,  27.6395, 10.0
 412, 2015-05-02 15:16:18.050, "33 km S of Kod?ri??, Nepal"              ,      4.3 ,   85.9494,  27.6545, 10.0
 413, 2015-05-02 09:41:16.290, "24 km NNE of Kathmandu, Nepal"           ,      4.2 ,   85.369 ,  27.9171, 10.0
 414, 2015-05-02 05:35:46.930, Nepal                                     ,      4.9 ,   84.6576,  28.3143, 10.0
 415, 2015-05-02 03:47:03.740, "11 km NNE of Kathmandu, Nepal"           ,      4.0 ,   85.3532,  27.7972, 10.0
 416, 2015-05-02 01:03:10.740, "21 km SSW of Kod?ri??, Nepal"            ,      4.0 ,   85.9042,  27.7751, 10.0
 417, 2015-05-02 00:10:49.450, "15 km ESE of Hetauda, Nepal"             ,      4.0 ,   85.1775,  27.3802, 10.0
 418, 2015-05-01 22:10:09.980, "3 km ESE of Dhulikhel, Nepal"            ,      4.0 ,   85.5759,  27.6072, 10.0
 419, 2015-05-01 18:47:16.520, "20 km ENE of Bharatpur, Nepal"           ,      4.1 ,   84.6329,  27.7249, 10.0
 420, 2015-05-01 04:39:19.300, "68 km NNE of Kod?ri??, Nepal"            ,      4.0 ,   86.2397,  28.5301, 10.0
 421, 2015-04-30 17:34:37.620, "31 km NNW of Kod?ri??, Nepal"            ,      3.8 ,   85.8071,  28.2119, 10.0
 422, 2015-04-30 00:37:10.880, "34 km NE of Bharatpur, Nepal"            ,      4.3 ,   84.6664,  27.9057, 10.0
 423, 2015-04-29 22:10:52.110, "58 km NE of Lobujya, Nepal"              ,      4.5 ,   87.2319,  28.33  , 10.0
 424, 2015-04-29 17:16:33.470, "24 km NE of Nagarkot, Nepal"             ,      4.4 ,   85.7031,  27.8677, 10.0
 425, 2015-04-29 17:16:14.460, "50 km NNE of Bharatpur, Nepal"           ,      4.1 ,   84.676 ,  28.0838, 18.76
 426, 2015-04-29 11:27:45.310, "19 km NW of Nagarkot, Nepal"             ,      4.6 ,   85.4086,  27.864 , 10.0
 427, 2015-04-29 09:39:14.120, "14 km ENE of Bharatpur, Nepal"           ,      4.2 ,   84.564 ,  27.7449, 10.0
 428, 2015-04-28 21:44:23.980, "7 km W of Kod?ri??, Nepal"               ,      4.1 ,   85.8817,  27.9577, 10.0
 429, 2015-04-27 23:20:28.520, "29 km N of Kathmandu, Nepal"             ,      4.2 ,   85.2821,  27.9641, 10.0
 430, 2015-04-27 21:27:41.790, "21 km SW of Kod?ri??, Nepal"             ,      4.2 ,   85.7877,  27.841 , 10.0
 431, 2015-04-27 21:14:57.990, Nepal                                     ,      3.7 ,   85.4008,  27.8402, 10.0
